Student ID,gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
S002,female,Group C,associate's degree,free/reduced,none,79,92,97
S003,male,Group D,high school,free/reduced,completed,38,38,41
S005,male,Group E,associate's degree,free/reduced,none,57,45,42
S006,female,Group E,bachelor's degree,standard,none,66,65,76
S007,female,Group C,some college,standard,none,57,67,64
S008,female,Group C,associate's degree,standard,none,65,85,80
S009,male,Group C,bachelor's degree,standard,none,68,56,57
S011,female,Group D,some college,standard,completed,74,78,78
S012,female,Group C,high school,standard,none,79,72,72
S013,female,Group C,associate's degree,standard,completed,89,86,92
S014,female,Group E,some high school,free/reduced,completed,42,59,59
S015,female,Group C,bachelor's degree,free/reduced,completed,44,45,52
S016,male,Group A,associate's degree,standard,none,96,82,90
S017,male,Group E,some college,standard,completed,99,98,93
S018,male,Group D,associate's degree,free/reduced,none,49,54,50
S019,male,Group D,some college,standard,none,96,93,87
S020,female,Group D,associate's degree,standard,none,67,67,67
S021,female,Group C,some college,standard,none,67,72,65
S022,male,Group C,associate's degree,free/reduced,completed,72,67,61
S023,female,Group C,some college,standard,none,56,58,55
S024,female,Group C,some college,standard,completed,81,9,93
S025,female,Group C,some high school,standard,none,53,48,49
S027,female,Group E,master's degree,free/reduced,completed,74,83,84
S029,male,Group C,high school,free/reduced,none,51,57,44
S030,female,Group C,some high school,free/reduced,completed,58,8,76
S031,female,Group D,associate's degree,free/reduced,completed,73,72,79
S032,female,Group C,some college,standard,none,83,85,86
S034,male,Group C,associate's degree,free/reduced,none,59,64,60
S035,female,Group D,some high school,free/reduced,none,67,63,63
S036,male,Group E,high school,free/reduced,completed,65,77,74
S037,female,Group B,some college,standard,none,73,87,89
S038,female,Group C,associate's degree,free/reduced,none,61,64,63
S039,female,Group E,high school,standard,none,54,56,56
S040,male,Group C,some high school,standard,none,63,59,51
S042,female,Group D,high school,standard,completed,92,95,93
S043,male,Group D,bachelor's degree,standard,none,39,45,36
S044,male,Group D,master's degree,free/reduced,completed,75,7,76
S045,female,Group B,some college,free/reduced,none,37,51,51
S046,male,Group C,some high school,standard,none,59,5,41
S047,female,Group D,some high school,standard,none,83,92,93
S048,male,Group D,some college,standard,none,63,6,53
S049,female,Group C,some college,free/reduced,none,43,58,60
S050,female,Group C,some college,standard,none,64,82,80
S051,female,Group C,some college,standard,none,56,58,55
S052,female,Group B,high school,free/reduced,none,49,66,60
S053,male,Group E,master's degree,free/reduced,none,74,67,67
S054,male,Group B,some college,standard,completed,45,5,48
S055,female,Group B,master's degree,standard,none,53,61,59
S056,male,Group D,some college,standard,none,63,6,53
S057,male,Group E,some high school,standard,none,73,62,59
S058,male,Group B,associate's degree,standard,none,74,65,61
S059,male,Group C,high school,standard,none,69,67,63
S060,male,Group C,associate's degree,free/reduced,completed,59,68,66
S061,female,Group A,high school,free/reduced,none,34,49,47
S062,male,Group A,some college,standard,completed,92,86,88
S063,male,Group C,associate's degree,free/reduced,none,57,58,51
S064,male,Group D,some high school,free/reduced,completed,40,5,47
S065,female,Group D,some high school,standard,none,82,77,80
S066,female,Group D,some college,standard,none,98,88,85
S067,female,Group C,associate's degree,standard,completed,77,9,97
S068,female,Group B,some college,standard,none,58,64,56
S069,female,Group E,bachelor's degree,standard,completed,98,1,99
S070,female,Group E,associate's degree,standard,none,82,83,80
S071,male,Group D,master's degree,free/reduced,none,75,65,65
S072,male,Group B,some college,standard,none,51,52,46
S074,male,Group D,some college,standard,completed,56,61,62
S075,female,Group E,high school,standard,none,90,96,88
S076,male,Group C,some college,standard,none,94,86,82
S077,female,Group E,some high school,standard,completed,90,96,98
S078,female,Group D,some college,free/reduced,completed,66,71,87
S079,male,Group C,some college,standard,none,68,58,54
S080,male,Group B,some high school,standard,none,79,69,70
S082,male,Group C,master's degree,standard,none,93,78,77
S083,female,Group C,some college,standard,none,77,85,85
S084,male,Group D,some college,standard,none,59,62,52
S085,female,Group C,some college,free/reduced,none,35,47,41
S086,female,Group B,high school,free/reduced,completed,45,61,63
S087,male,Group E,high school,free/reduced,completed,76,61,61
S090,male,Group C,high school,standard,none,74,9,83
S091,female,Group C,associate's degree,standard,none,67,67,67
S092,female,Group C,some college,free/reduced,none,62,78,71
S093,male,Group D,some college,standard,none,80,75,74
S094,male,Group C,some high school,standard,none,94,84,80
S095,female,Group C,high school,standard,none,55,62,61
S096,female,Group B,some high school,standard,none,37,51,43
S098,male,Group E,bachelor's degree,standard,none,56,5,50
S099,male,Group C,associate's degree,standard,none,56,71,70
S101,male,Group C,some college,standard,none,68,57,54
S103,male,Group C,associate's degree,standard,none,74,69,63
S104,female,Group D,master's degree,standard,none,67,75,80
S105,male,Group E,some college,standard,none,62,65,65
S106,female,Group C,some college,standard,completed,84,88,87
S107,female,Group B,bachelor's degree,standard,none,81,84,86
S108,female,Group C,some high school,free/reduced,completed,52,59,58
S109,male,Group D,associate's degree,standard,none,72,62,60
S110,male,Group D,some high school,standard,none,69,56,59
S111,male,Group C,bachelor's degree,free/reduced,none,47,53,42
S112,female,Group B,bachelor's degree,standard,completed,64,77,79
S113,male,Group C,some high school,standard,completed,60,57,60
S114,male,Group C,some high school,standard,none,59,5,41
S115,female,Group C,master's degree,standard,none,59,64,64
S116,male,Group D,some college,standard,completed,96,92,88
S117,female,Group B,bachelor's degree,standard,none,81,84,86
S118,male,Group D,some college,free/reduced,none,62,61,57
S119,female,Group B,associate's degree,standard,none,71,87,87
S120,female,Group B,bachelor's degree,standard,completed,64,77,79
S121,male,Group D,some college,free/reduced,none,62,58,56
S122,male,Group C,some high school,standard,none,66,6,59
S123,female,Group D,associate's degree,free/reduced,none,71,78,81
S124,female,Group C,some college,free/reduced,none,62,7,64
S125,female,Group D,associate's degree,standard,none,42,48,42
S126,female,Group B,associate's degree,standard,completed,91,99,100
S127,female,Group D,some college,free/reduced,none,57,76,77
S128,female,Group D,some college,free/reduced,completed,41,58,59
S130,male,Group C,some college,standard,none,65,64,61
S131,female,Group B,some high school,free/reduced,completed,37,48,46
S132,female,Group B,some college,standard,none,45,52,51
S133,female,Group C,some college,standard,completed,64,81,87
S134,female,Group B,bachelor's degree,standard,none,65,79,73
S135,female,Group B,associate's degree,standard,none,68,7,76
S136,female,Group C,bachelor's degree,free/reduced,none,65,64,73
S137,female,Group A,master's degree,standard,completed,68,76,76
S138,male,Group C,some college,free/reduced,completed,68,71,64
S140,male,Group C,high school,standard,completed,88,75,72
S141,female,Group B,some college,standard,none,83,88,90
S142,female,Group B,bachelor's degree,free/reduced,none,50,4,38
S143,female,Group A,bachelor's degree,standard,completed,66,8,75
S144,female,Group C,some college,free/reduced,none,43,58,60
S145,female,Group B,some college,free/reduced,none,67,77,81
S146,female,Group E,some high school,standard,none,48,6,57
S147,female,Group C,associate's degree,standard,none,56,71,70
S148,male,Group B,associate's degree,free/reduced,none,60,59,52
S150,female,Group D,high school,standard,none,74,82,81
S152,male,Group C,bachelor's degree,standard,none,70,49,53
S153,female,Group A,some high school,standard,completed,79,65,65
S154,male,Group D,master's degree,free/reduced,none,75,65,65
S156,male,Group C,some high school,standard,completed,83,81,78
S157,male,Group C,some college,free/reduced,none,81,84,78
S158,male,Group C,master's degree,free/reduced,none,55,54,52
S159,male,Group C,some college,standard,none,80,79,74
S160,female,Group D,associate's degree,free/reduced,none,39,65,64
S161,male,Group C,associate's degree,free/reduced,none,57,45,42
S162,male,Group B,bachelor's degree,free/reduced,none,76,74,76
S163,male,Group D,master's degree,standard,none,71,61,63
S164,female,Group C,associate's degree,free/reduced,none,82,73,74
S165,female,Group C,bachelor's degree,free/reduced,completed,68,78,83
S166,male,Group A,high school,standard,none,78,72,66
S167,male,Group C,bachelor's degree,standard,none,68,56,57
S168,male,Group E,associate's degree,standard,none,83,83,78
S169,male,Group A,some college,standard,completed,56,51,44
S171,female,Group B,some college,standard,none,45,63,67
S172,male,Group C,some college,standard,none,80,79,74
S173,male,Group C,associate's degree,free/reduced,completed,47,49,49
S175,female,Group E,high school,standard,none,79,78,83
S176,female,Group C,some college,standard,none,61,64,54
S177,female,Group B,associate's degree,free/reduced,none,59,72,72
S178,female,Group B,bachelor's degree,standard,none,82,85,99
S180,male,Group A,high school,standard,none,70,74,65
S181,female,Group C,some college,standard,none,45,46,47
S182,female,Group C,master's degree,standard,completed,50,64,63
S186,male,Group B,some college,free/reduced,none,42,48,33
S187,male,Group C,some college,free/reduced,none,44,45,41
S188,female,Group D,some college,free/reduced,completed,64,66,62
S189,male,Group D,some high school,free/reduced,completed,35,56,54
S191,male,Group D,associate's degree,standard,none,44,45,41
S192,male,Group C,high school,standard,none,88,75,72
S193,female,Group C,some college,standard,completed,62,68,75
S194,female,Group C,high school,free/reduced,none,68,73,71
S195,male,Group C,some college,free/reduced,none,66,66,62
S196,female,Group C,high school,standard,none,66,62,66
S197,female,Group D,associate's degree,standard,none,84,9,90
S198,female,Group D,some college,standard,none,99,97,95
S199,female,Group B,bachelor's degree,free/reduced,completed,49,57,61
S200,female,Group C,master's degree,standard,none,67,78,80
S201,male,Group C,associate's degree,standard,none,72,69,70
S202,female,Group B,some college,standard,none,65,76,70
S203,male,Group A,some college,free/reduced,completed,59,55,58
S204,male,Group B,some high school,free/reduced,none,46,41,40
S205,female,Group B,high school,free/reduced,none,59,74,68
S206,female,Group E,associate's degree,free/reduced,none,60,74,68
S207,male,Group C,bachelor's degree,free/reduced,none,57,54,44
S208,male,Group D,some college,standard,none,69,73,67
S210,female,Group B,master's degree,free/reduced,none,54,6,60
S211,male,Group D,associate's degree,free/reduced,none,82,76,75
S212,female,Group B,bachelor's degree,standard,none,65,79,73
S213,male,Group C,bachelor's degree,standard,none,77,65,69
S214,female,Group D,associate's degree,free/reduced,none,68,76,79
S215,male,Group C,bachelor's degree,standard,completed,75,62,65
S216,male,Group D,associate's degree,standard,none,95,86,83
S217,female,Group C,associate's degree,standard,none,67,76,76
S218,female,Group C,some college,standard,completed,60,67,74
S219,male,Group E,some college,standard,completed,91,76,78
S220,male,Group C,some college,free/reduced,none,47,49,49
S221,female,Group B,some college,free/reduced,completed,69,78,75
S222,male,Group C,master's degree,standard,none,80,79,73
S223,male,Group B,some high school,standard,none,55,49,44
S224,female,Group C,some college,standard,none,66,78,75
S226,male,Group D,associate's degree,standard,completed,67,68,69
S227,male,Group E,some high school,standard,none,77,62,57
S228,male,Group C,high school,standard,none,96,94,93
S229,male,Group C,master's degree,free/reduced,none,55,54,52
S230,female,Group E,some college,standard,none,83,9,88
S232,male,Group D,some high school,free/reduced,completed,47,46,51
S233,female,Group D,associate's degree,standard,none,65,71,74
S235,male,Group D,some college,standard,none,88,72,74
S236,female,Group E,associate's degree,free/reduced,none,60,74,68
S237,male,Group C,some high school,free/reduced,none,61,56,53
S239,male,Group B,associate's degree,standard,completed,76,79,80
S240,male,Group D,high school,standard,none,58,47,45
S241,female,Group B,some college,free/reduced,none,61,68,67
S242,female,Group C,some college,standard,none,71,88,83
S243,female,Group E,high school,standard,none,59,52,56
S244,female,Group C,associate's degree,standard,completed,71,84,88
S245,female,Group C,bachelor's degree,standard,completed,57,69,77
S246,male,Group D,some high school,standard,none,59,48,48
S247,male,Group B,high school,standard,none,81,71,62
S248,female,Group B,high school,standard,completed,77,83,91
S250,male,Group C,some high school,standard,completed,63,69,68
S251,male,Group C,bachelor's degree,free/reduced,none,65,61,57
S252,male,Group E,bachelor's degree,standard,none,95,9,89
S253,female,Group D,master's degree,free/reduced,completed,75,7,76
S254,female,Group B,some college,standard,none,84,1,96
S255,female,Group C,master's degree,standard,none,70,81,75
S256,female,Group B,associate's degree,standard,none,61,68,67
S257,female,Group D,high school,standard,none,83,78,74
S258,female,Group C,bachelor's degree,standard,none,64,62,58
S259,female,Group B,associate's degree,standard,none,73,8,78
S261,male,Group B,some college,standard,completed,83,79,80
S262,male,Group C,high school,standard,completed,88,75,72
S263,male,Group C,some college,free/reduced,completed,59,69,63
S264,male,Group D,associate's degree,standard,none,73,87,83
S265,female,Group D,some college,standard,none,71,71,76
S266,female,Group C,some college,standard,none,61,75,82
S267,male,Group B,associate's degree,standard,none,74,65,61
S268,male,Group C,master's degree,standard,none,85,81,80
S269,male,Group C,some college,standard,none,57,6,57
S270,female,Group C,master's degree,standard,none,59,64,64
S271,female,Group C,high school,free/reduced,none,39,5,41
S272,male,Group D,associate's degree,free/reduced,completed,82,78,90
S273,female,Group B,associate's degree,free/reduced,none,67,73,74
S274,male,Group B,some college,standard,none,74,83,72
S275,male,Group C,associate's degree,standard,none,76,74,67
S276,male,Group C,associate's degree,free/reduced,completed,59,68,66
S277,female,Group B,some college,standard,none,92,1,100
S278,female,Group E,master's degree,standard,none,88,89,87
S280,male,Group C,some high school,standard,none,28,27,23
S281,male,Group D,some high school,standard,completed,76,78,79
S282,male,Group D,some college,standard,completed,82,79,81
S283,male,Group C,bachelor's degree,standard,none,64,62,58
S284,male,Group C,associate's degree,free/reduced,none,82,86,78
S285,male,Group C,associate's degree,standard,none,49,53,47
S287,male,Group C,some high school,free/reduced,none,79,77,71
S288,male,Group C,some high school,standard,none,63,63,63
S289,male,Group D,high school,free/reduced,none,58,52,51
S290,male,Group B,bachelor's degree,standard,none,82,68,69
S291,female,Group D,some college,free/reduced,none,62,61,57
S292,female,Group A,some college,free/reduced,completed,75,97,92
S294,female,Group B,high school,free/reduced,none,38,55,52
S295,female,Group D,associate's degree,free/reduced,none,45,61,57
S297,female,Group D,associate's degree,standard,completed,68,66,72
S299,female,Group E,bachelor's degree,free/reduced,completed,68,82,86
S301,male,Group E,high school,free/reduced,completed,74,67,61
S302,male,Group B,associate's degree,standard,none,76,79,80
S303,female,Group A,some high school,standard,none,57,53,54
S304,male,Group E,some college,standard,none,98,79,85
S305,female,Group C,high school,standard,completed,49,68,67
S307,female,Group B,some college,standard,none,45,63,67
S308,female,Group C,high school,standard,none,21,3,26
S309,male,Group C,some high school,free/reduced,none,79,77,71
S311,female,Group D,high school,standard,completed,88,77,78
S312,male,Group C,master's degree,standard,none,68,56,57
S313,female,Group D,associate's degree,free/reduced,none,64,67,75
S314,female,Group C,some college,free/reduced,none,62,74,74
S316,female,Group C,some high school,standard,none,67,72,71
S317,male,Group D,associate's degree,standard,none,74,7,63
S319,female,Group E,some college,standard,none,92,94,94
S320,male,Group D,associate's degree,standard,none,89,78,76
S321,female,Group C,some high school,standard,completed,77,83,84
S322,female,Group C,bachelor's degree,standard,none,58,7,72
S323,female,Group C,some high school,standard,none,70,75,78
S324,male,Group C,master's degree,standard,none,67,75,80
S325,female,Group D,some high school,free/reduced,completed,62,75,79
S327,female,Group D,associate's degree,standard,none,67,71,76
S328,male,Group D,high school,free/reduced,none,58,52,51
S330,male,Group C,some college,standard,completed,84,77,79
S331,female,Group C,associate's degree,free/reduced,none,35,4,45
S332,male,Group A,high school,standard,completed,83,71,69
S333,female,Group D,master's degree,standard,none,65,73,77
S334,male,Group D,some college,free/reduced,completed,67,78,70
S336,female,Group C,high school,standard,none,44,5,37
S337,male,Group C,high school,standard,completed,75,69,67
S338,male,Group C,some college,standard,completed,60,51,55
S339,male,Group D,master's degree,standard,none,100,97,91
S340,female,Group C,bachelor's degree,free/reduced,none,62,75,73
S341,male,Group A,associate's degree,standard,completed,85,75,74
S343,female,Group D,some college,free/reduced,none,43,48,53
S344,female,Group C,associate's degree,free/reduced,none,52,65,60
S346,female,Group D,associate's degree,standard,none,84,92,90
S347,female,Group C,some high school,standard,none,88,9,90
S348,female,Group B,master's degree,standard,none,62,67,70
S349,female,Group C,associate's degree,standard,none,69,82,78
S350,female,Group D,some college,standard,none,67,67,67
S351,female,Group B,some high school,standard,none,44,65,59
S352,female,Group B,high school,standard,none,74,9,83
S353,female,Group D,some college,standard,none,76,74,71
S354,female,Group C,master's degree,standard,completed,65,84,86
S355,male,Group C,associate's degree,free/reduced,none,39,44,36
S356,female,Group C,some high school,standard,none,75,86,84
S357,female,Group C,some college,free/reduced,completed,62,68,74
S358,male,Group C,some high school,standard,none,60,51,55
S359,female,Group C,associate's degree,standard,none,72,77,75
S360,female,Group D,some high school,free/reduced,none,60,69,70
S361,male,Group C,some high school,standard,none,68,57,54
S362,male,Group C,associate's degree,standard,none,76,72,73
S364,male,Group A,some high school,standard,none,79,65,65
S365,female,Group E,some high school,standard,none,74,6,59
S366,female,Group C,high school,free/reduced,none,74,88,75
S367,female,Group C,high school,standard,none,55,72,70
S368,female,Group D,high school,standard,completed,50,72,70
S369,female,Group C,high school,standard,none,61,57,55
S370,female,Group D,associate's degree,standard,none,67,67,67
S371,female,Group C,bachelor's degree,standard,none,67,72,72
S373,male,Group A,associate's degree,standard,completed,85,75,74
S374,female,Group B,high school,free/reduced,none,46,57,53
S375,male,Group C,bachelor's degree,standard,none,77,65,69
S376,male,Group D,high school,standard,none,81,62,61
S377,male,Group E,associate's degree,standard,completed,84,75,75
S378,female,Group B,high school,standard,none,72,73,72
S379,male,Group C,high school,free/reduced,completed,77,8,74
S380,female,Group D,some high school,standard,none,74,75,74
S381,female,Group C,some college,free/reduced,none,35,4,45
S382,male,Group A,some college,standard,none,72,77,67
S383,male,Group C,high school,standard,none,93,86,76
S384,female,Group D,high school,standard,completed,85,98,99
S385,female,Group D,associate's degree,free/reduced,completed,47,58,56
S386,female,Group D,bachelor's degree,free/reduced,completed,59,78,80
S387,female,Group C,high school,standard,none,72,76,74
S388,male,Group C,high school,standard,none,72,68,62
S389,male,Group D,some college,standard,none,98,88,85
S390,male,Group C,master's degree,standard,none,81,8,73
S391,male,Group E,master's degree,free/reduced,none,74,67,67
S392,male,Group D,associate's degree,standard,completed,99,1,100
S394,female,Group E,some college,free/reduced,none,69,74,75
S395,female,Group B,high school,free/reduced,none,58,62,54
S396,female,Group E,some high school,standard,none,87,87,84
S397,female,Group C,bachelor's degree,standard,none,79,86,78
S398,female,Group D,bachelor's degree,standard,none,58,61,59
S399,male,Group C,high school,standard,completed,72,63,66
S400,female,Group C,associate's degree,standard,none,82,85,94
S401,male,Group D,some college,standard,completed,82,79,81
S402,male,Group D,some college,standard,none,88,72,74
S404,female,Group D,associate's degree,standard,none,65,71,74
S405,male,Group C,associate's degree,free/reduced,none,61,58,56
S406,female,Group C,master's degree,standard,completed,79,87,89
S408,male,Group D,some high school,standard,none,82,74,75
S409,female,Group C,associate's degree,standard,none,69,82,78
S410,male,Group C,high school,standard,completed,78,81,80
S411,female,Group D,some high school,free/reduced,completed,49,69,68
S412,male,Group C,some college,standard,none,69,59,57
S413,male,Group C,some college,standard,completed,77,8,85
S414,male,Group E,some high school,standard,none,66,63,60
S415,female,Group A,master's degree,standard,completed,68,76,76
S416,male,Group E,associate's degree,standard,none,71,63,53
S417,female,Group A,master's degree,standard,completed,68,76,76
S418,male,Group D,some college,standard,completed,80,67,72
S419,male,Group C,some college,standard,none,55,61,59
S420,male,Group C,some college,standard,completed,72,56,63
S421,female,Group C,some college,standard,none,81,65,60
S422,female,Group C,some college,standard,none,77,85,85
S423,male,Group C,some college,standard,none,65,64,61
S424,female,Group C,some high school,free/reduced,none,65,83,77
S425,male,Group D,associate's degree,standard,none,86,84,82
S426,female,Group B,some college,standard,none,62,78,74
S427,male,Group D,bachelor's degree,standard,none,74,76,73
